,user,location,pesan
34,Jamal_akmalll,"Bekasi, Jawa Barat","Pesan Ali Ngabalin pada Novel Baswean Cs: Pergi Sana Cari Kerja Lainnya, Jangan Ganggu @KPK_RI 
#BacaRMOL
#Sinovac… https://t.co/VeZbV79bkX"
35,Jamal_akmalll,"Bekasi, Jawa Barat","OTT Bupati Probolinggo Dapat Banyak Dukungan, @KPK_RI: Pelibatan Masyarakat Suatu Keniscayaan dalam Pemberantasan K… https://t.co/lphZtodrXt"
36,Jamal_akmalll,"Bekasi, Jawa Barat","Lebih Berat dari Tuntutan Jaksa @KPK_RI, Joko Bekas Anak Buah Juliari Batubara Divonis 9 Tahun Penjara 
#BacaRMOL… https://t.co/GKXm5GcnpL"
37,Jamal_akmalll,"Bekasi, Jawa Barat","@KPK_RI: Putusan @officialMKRI Soal TWK Menegaskan Kesesuain Aturan dengan Pelaksanaan 
#BacaRMOL
#Sinovac
#Wuhan… https://t.co/5pYfFPDPKP"
38,Jamal_akmalll,"Bekasi, Jawa Barat","Setelah Adi Wahyono, Matheus Joko Dikabulkan Hakim jadi Justice Collaborator Korupsi Bansos 
#BacaRMOL
#Sinovac… https://t.co/rHVUEtm43j"
39,Jamal_akmalll,"Bekasi, Jawa Barat","Bupati Kuansing Riau Diminta Membantu Penelusuran Orang yang Mengaku Pegawai @KPK_RI 
#BacaRMOL
#Sinovac
#Wuhan… https://t.co/Z3Lgeq88Lb"
40,Jamal_akmalll,"Bekasi, Jawa Barat","Belum Tentu Dukung @prabowo, PA 212 akan Gelar Ijtima Ulama Tahun Depan 
#BacaRMOL
#Sinovac
#Wuhan… https://t.co/IDJL7WBqgv"
41,Jamal_akmalll,"Bekasi, Jawa Barat","Kata Rocky Gerung, Presiden @jokowi Sedang Ketagihan Pujian
#BacaRMOL
#Sinovac
#Wuhan
#VaksinMerahPutih
#SARS-CoV-2… https://t.co/eCykx0sbPo"
42,Jamal_akmalll,"Bekasi, Jawa Barat","Estafet, @KPK_RI Panggil Kadisdik Mojokerto dan 7 Saksi terkait TPPU Bekas Bupati Mustofa Kamal 
#BacaRMOL
#Sinovac… https://t.co/2K7N1T7uuB"
43,Jamal_akmalll,"Bekasi, Jawa Barat","Menteri Itu Pemikir dan Pembuat Kebijakan, Bukan Ngamuk-ngamuk 
#BacaRMOL
#Sinovac
#Wuhan
#VaksinMerahPutih
#SARS-C… https://t.co/1PrjC8XJND"
44,iswanto_raden,,@merapi_uncover Semoga tumbuh ini mampu menerima nya #Sinovac dosis pertama
45,Jamal_akmalll,"Bekasi, Jawa Barat","Dua Mantan Petinggi PTPN XI Dipanggil @KPK_RI soal Dugaan Korupsi 
#BacaRMOL
#Sinovac
#Wuhan
#VaksinMerahPutih… https://t.co/yy3NWkUh24"
46,Jamal_akmalll,"Bekasi, Jawa Barat","Rocky Gerung: Melihat Orang Miskin Bergerombol Menunggu Dilempari Bansos Seolah Jadi Kegembiraan 
#BacaRMOL… https://t.co/43vtuWWcYG"
47,Jamal_akmalll,"Bekasi, Jawa Barat","@prabowo Harus Balas Budi Baik Habib Rizieq Shihab saat Pilpres
#BacaRMOL
#Sinovac
#Wuhan
#VaksinMerahPutih
#SARS-C… https://t.co/fPyxSRXXHt"
48,Jamal_akmalll,"Bekasi, Jawa Barat","Angin Beres, Kini @KPK_RI Panggil 16 Saksi untuk Dadan Ramdani 
#BacaRMOL
#Sinovac
#Wuhan
#VaksinMerahPutih
#SARS-C… https://t.co/kV5TSE3utc"
