,user,location,pesan
33,YannickLegendre,,@koreanjewcrypto $MRNA #Moderna ?
34,HumasFatmawati,Jakarta Selatan,"Vaksinasi Moderna Di RSUP Fatmawati
#rsupfatmawati
#kemenkes_ri
#dinkesdki
#protokolkesehatan
#nakes… https://t.co/CuwR3Ei4X6"
35,asdfghjodohmuu,BE,akhirnya #sayasudahdivaksin #moderna first dose 🎗 https://t.co/Oz3bpy2Qja
36,agus3widodo,Indonesia,"Dari pagi sd sore,
✅ Badan panas,
✅ Kaki dingin,
✅ Kepala nyut2,
✅ Sendi2 kepala &amp; tulang belakang nyeri.
Coba untu… https://t.co/FNnYTenK25"
37,BernasMedia,Indonesia,"Warga Kota #Jogja Kini Bisa Vaksin Pakai #Moderna
 https://t.co/oPzpQlGvDr"
38,wartakotalive,Jalan Palmerah Barat 33-37 Jkt,"Daftar Rumah Sakit di Tangerang Menyediakan Vaksinasi Moderna untuk 18 Tahun, Ibu Hamil dan Komorbid… https://t.co/abDJmmZj9E"
39,nurmansjahlubis,"Jakarta Capital Region, Indone",Alhamdulillah menemani Mama saya berusia 79 tahun Vaksin Pertama nya dengan #Moderna di #RS Buah Hati Pamulang than… https://t.co/NtS9nnpQu7
40,agus3widodo,Indonesia,"Subuh, Pasca Vaksin Moderna, pangkal lengan di area penyuntikan makin menyut-nyut/nyeri.
Mungkin seperti ini yg di… https://t.co/pxi5EGdRFc"
41,agus3widodo,Indonesia,"Jam 03 dini hari terbangun, badan menggigil, cari kaos kaki, selimut tebal. Vaksin Moderna #moderna"
42,agus3widodo,Indonesia,"12 jam usai Vaksin Moderna, bobok nya sesuai tuntunan. Menghadap ke kanan karena pangkal lengan kiri sakit pd area penyuntikan... 😁
#moderna"
43,antaranews,NKRI,Jumlah vaksin COVID-19 Moderna di Jepang yang terkontaminasi partikel bertambah satu juta dosis dan telah ditangguh… https://t.co/WTPEM8yoSQ
44,KhairilHassan,N 4°53' 0'' / E 114°54' 0'',"Alhamdullilah, Moderna 2nd dose done! Krg cuba lekstkan sudu di badan 😅😂🤣 #Vaccine #Vaccinated #Moderna #2Dose… https://t.co/VXMb6MZjnI"
45,rmoljateng,"Semarang, Jawa Tengah","Kopassus Grup 2 Kandang Menjangan Kartasura Suntikan 3000 Vaksin #Moderna untuk 10 Desa Binaan #KlikRMOL 
 https://t.co/JVxrU0vJVl"
46,shakeeb_arslan,Tianjin,"Alhumdulillah, Got my 1st Jab of ""Moderna"" Vaccine.
#vaccination
#Moderna"
47,agus3widodo,Indonesia,"2 jam berlalu pasca suntik #Moderna tangan mulai sengal/pegel dan sedikit menyut.
Perut keroncong an (laper) 😂… https://t.co/7TUckL3XAk"
48,HumanIn_Aceh,Santan. Aceh Besar,"VAKSINASI SINOVAC DIIJINKAN SAUDI

Arab Saudi memberikan ijin bagi individu yang sudah vaksinasi sinovac dan sinoph… https://t.co/s5asL6WKQT"
49,agus3widodo,Indonesia,"5 menit pasca vaksin #Moderna masuk ruang tunggu.
Smoga dapet sembako atau voucher belanja... 😁
@anggasasongko https://t.co/SWHSXKGIkx"
50,agus3widodo,Indonesia,"Sebelum suntik #Moderna dikasih kertas, suruh baca.
Kirain mantra... 😁
@cobeh2021 @jowoshitpost https://t.co/PAFKjOsNpZ"
51,agus3widodo,Indonesia,"Bismillah...
Sebelum masuk ruangan, sempat diperiksa secara spiritual oleh pihak pengaman RS, siapa tau punya jimat… https://t.co/L9aon1QPpl"
52,agus3widodo,Indonesia,"Msh menunggu...
Nanti ane update perkembangan infonya pasca vaksin... 
#Moderna https://t.co/gw3yxdVlm6"
53,rmolbantencom,Indonesia,"Terkontaminasi, Jepang Tangguhkan Program Vaksinasi Moderna - https://t.co/d6vhyP6enD https://t.co/YPPi76Ovan… https://t.co/vjhG7i7mA0"
54,alvinlie21,"Jakarta, Indonesia",Alangkah baiknya jika @KemenkesRI juga teliti periksa vaksin #COVID19 #Moderna di Indonesia utk pastikan insiden di… https://t.co/aSMCqwBAsd
55,mainmainid_,"Surabaya, Indonesia","Dilansir dari Bestlife, sebuah studi terbaru mengungkap jika vaksin mRNA Moderna mengembangkan lebih banyak lonjaka… https://t.co/syWNkaDy6G"
56,Pojokjakarta_,"DKI Jakarta, Indonesia","Kepala Daerah Dapat Booster Vaksin Moderna, Perlu atau Tidak?
#Moderna
#VaksinasiNasional
#vaksinmoderna
 https://t.co/4y9s6WgT1S"
57,ParstodayIRIB,"Tehran, Iran","VIDEO:
Kementerian Kesehatan Jepang melaporkan bahwa dua warga negara ini meninggal dunia setelah menerima suntikan… https://t.co/i9z7YwiInD"
58,tng_tv,"Kota Tangerang, Banten","#sobattangerang - untuk kalian yang memiliki komorbid dan belum mendapatkan vaksinasi dosis 1 dan 2, kalian bisa me… https://t.co/SSk5iuikTO"
59,MDTHasanNaim55,Bangladesh,"ALHAMDULILLAH,  2nd dose of covid19 vaccine done.
#Moderna"
60,anggironggg,"Jawa Tengah, Indonesia",setelah menggembleng tubuh ini dengan paramol seharian + santagesik. akhirnya hari ini ga krasa demam dan  badan se… https://t.co/Fbtqba44W7
61,vivipinot15,,"Dari Moderna sy belajar: jangan mau kena covid  pakai cara jaga diri dgn prokes ketat.
Asli dude,mulai 20 ment pert… https://t.co/rjJAMR3PnF"
62,sherrychiu__,Jember,Dua Orang Meninggal Dunia di Jepang setelah Mendapat Vaksin Covid-19 Moderna yang Diduga Terkontaminasi… https://t.co/CNpS9yap9o
63,BossMed,Hadeland,#Moderna Lisa.... https://t.co/xYGkwVxw1Q
64,ChenoxBecks,"Ambon, Maluku",Efek #Moderna mmg nendang sih 😔
65,Linda_Lsiana,"Banjarnegara, Indonesia","Dosis ke-3, biarkan sinovac, penyitas dan moderna reonian #modernavaccine #Moderna https://t.co/GcDFRHltxu"
66,krucilan,10.10.10.12,"@SantorinisSun ☝️sudah vaksin ke 1 #moderna🙏
ada komorbit dan tensi cenderung tinggi (di atas rata2)

efek demam, f… https://t.co/A4WC7ESQYk"
67,bidanrika,"Dayeuhkolot, Bandung Selatan. ","Lagi bantuin vaksinasi di Puskesmas Dayeuhkolot, ya sekalian saja booster #Moderna. Semoga kipinya tidak seseram yg… https://t.co/0sQA8hBcYI"
68,tvOneNews,Indonesia,Vaksin Moderna telah diberikan kepada para tenaga kesehatan (nakes) sebagai dosis yang ketiga. Lantas apakah booste… https://t.co/dYGWBswFRc
69,erizqi_nisa,"Jawa Tengah, Indonesia","Efek #Moderna setelah 16 jam di Vaksin.... 🤕🤒
- Demam 
- Bekas Suntikan terasa nyeri n pegal
- Gelisah
- Pusing
- K… https://t.co/HGpOmawjf0"
70,iwanwahyuutomo,,"thanks ppkm. sekarang orang berlomba2 pengen vaksin, biar bisa masuk ke mall 😀😀 #moderna #vaksin #Ronaldo"
71,bellayoon_,"Kebumen, Indonesia","Efek vaksinnya baru terasa. Gelisah, kepala agak pening, lidah kering agak pahit, haus, lapar, ngantuk, mau ketemu… https://t.co/2uANWA2mNX"
72,galihr45,"Jawa Tengah, Indonesia","Peduli lindungi
#vaksincovid19
#moderna 
#PeduliLindungi https://t.co/duxBvMZaoB"
73,prokabar,Indonesia,"Terima #vaksin #moderna 1.134 Dosis, Pemkab #Pasaman Prioritaskan untuk #nakes. Kunjungi https://t.co/uhTgO8Q4RB .… https://t.co/dDiXKhoEou"
74,murianewscom,"Kudus, CJ, Indonesia","600 Nakes di Kota Pekalongan Divaksin Tahap Ketiga 

Selengkapnya klik tautan berikut ini.
#Pekalongan #Nakes… https://t.co/ZLMQaKmir3"
75,hosein39400962,جمهوری اسلامی ایران,"#واكسن_آلوده_آمریکایی 
#واكسن_آلوده #واکسن #hiroshima    #Japan #ژاپن  #Moderna  #モダニナ#moderna_japan    #日本 https://t.co/e1L3aQhvzX"
76,murianewscom,"Kudus, CJ, Indonesia","Geger Pejabat Pemkab Klaten Dapat Vaksin Booster Nakes, Begini Penjelasan PMI 

Selengkapnya klik tautan berikut in… https://t.co/O9s541MRsj"
77,ismunadi22,endonesa....,"Bismillah.... #vaksin #vaccine #moderna 💉💉💉
Ini yg jar rasanya kayak anu.......
5 jam habis vaksin tangan berasa si… https://t.co/WhVxVDK3tj"
78,batamnewsonline,"Batam, Kepri, Indonesia",Ribuan warga terlihat sudah mengantre di vihara tersebut. Kebanyakan dari mereka sudah datang sejak pagi tadi.… https://t.co/CnehtGCK7v
79,serambinews,Aceh,Tapi benar-benar tidak ingin diulang cukup sekali aja untuk vaksin moderna  ini serasa seperti Spongebob badan terl… https://t.co/8VFcecSiqR
80,bagaz13,Bat-cave,"#NaganRaya #Moderna #VaksinCovid19 

Nakes disuntik vaksin moderna sebagai booster dalam upaya meningkatkan daya ta… https://t.co/087BBvedsJ"
81,,,"Jam 00.30 
Kurang lebih 50 jam post #moderna , demam, berkeringat banyak, basah bajunya, gak sempet cek suhu karena… https://t.co/HxlP75rP6K"
